Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
United States,61000,7,0,0,1000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,150000,20,1,1,1000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
Germany,47311.82796,2,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000,20,0,0,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,88000,1,0,1,20,Not remote,2,0,0,0,1,0,0,0,0,0,0,0,0,1
Germany,40000,3,1,1,20,Not remote,7,1,0,0,0,0,0,0,0,0,0,0,1,1
United Kingdom,150000,17,1,1,1000,Not remote,8,1,0,0,0,0,0,0,0,1,0,0,0,0
United States,137500,8,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000,13,0,1,500,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
India,5652.620761,2,0,0,10000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United Kingdom,62500,14,0,1,1,Remote,7,1,0,1,0,1,0,0,0,0,0,0,1,1
United States,110000,17,0,1,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,82000,3,1,0,10000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
India,7752.165614,2,1,1,20,Not remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1
United States,104000,3,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,37878.78788,4,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,52500,3,1,1,500,Not remote,7,1,0,1,1,1,0,0,1,1,0,0,0,0
United States,100501,15,0,1,500,Not remote,0,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,93000,8,0,1,20,Remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000,9,1,1,1000,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,0,1
Canada,53030.30303,7,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,99478.78788,20,0,0,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,75000,1,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,95000,7,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,73200,10,0,1,10,Remote,8,0,1,0,0,1,0,0,0,0,0,0,1,1
United States,140000,15,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,86000,20,0,1,1,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
India,11745.70548,5,1,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000,2,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
United States,160000,10,1,1,20,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
United Kingdom,32000,3,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,35483.87097,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,1,0,0,0,0,1
United States,60000,3,0,0,100,Not remote,5,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,106400,19,0,1,1000,Remote,6,0,0,1,0,0,0,0,0,0,0,0,1,1
India,9396.564381,4,0,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,135000,7,0,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,77000,7,0,1,20,Not remote,4,0,0,1,1,0,0,0,0,0,0,0,0,0
United States,105000,2,0,1,5000,Not remote,9,0,0,0,0,0,0,0,0,0,0,1,0,0
United States,62000,6,0,1,100,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,150000,18,1,1,5000,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,65000,5,0,0,1000,Not remote,9,0,1,0,0,0,0,0,0,0,0,0,0,1
United States,115000,20,1,1,100,Remote,9,0,0,1,0,0,0,0,0,0,1,0,0,1
Canada,40909.09091,5,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,125000,7,1,1,10,Remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,95000,20,0,1,20,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,88000,8,1,1,20,Remote,8,0,0,0,0,0,0,1,0,0,0,0,0,1
United States,117250,20,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,155000,12,1,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,63636.36364,5,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,1,1
United States,95000,8,1,1,20,Not remote,5,0,0,1,1,1,1,0,0,1,0,0,1,0
United States,85000,12,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,62000,4,0,0,1,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,160000,19,0,1,20,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,93000,12,0,0,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,95000,3,1,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
Canada,49242.42424,4,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,1,1
United States,1.00E+05,20,1,1,10000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,1,1
United States,107000,13,0,1,10000,Not remote,7,0,1,1,1,0,0,0,0,0,1,0,0,1
India,2114.226986,2,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,35483.87097,3,0,1,1000,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,1,1
India,11011.59888,2,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,116000,9,0,1,10000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,49677.41935,4,0,1,1000,Not remote,5,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,72000,3,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,178000,16,0,0,10000,Remote,7,0,1,0,0,0,0,0,0,0,0,0,0,0
United States,111000,8,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,63440.86022,6,0,1,20,Remote,9,1,0,0,1,0,0,0,0,1,0,0,0,0
United States,90000,1,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,90000,5,0,1,1000,Not remote,10,0,1,1,0,0,1,0,0,0,0,0,0,1
United States,1.00E+05,13,0,0,20,Not remote,8,0,0,1,0,0,1,0,1,0,1,0,0,0
Canada,90909.09091,20,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,94000,5,1,0,10000,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000,19,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,150000,9,1,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,60000,7,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,41893.93939,3,0,1,20,Not remote,8,0,1,1,0,0,0,0,0,0,1,0,1,1
United States,135000,9,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,143000,5,1,1,100,Not remote,5,0,0,1,1,0,1,0,0,0,0,0,1,1
United States,143000,7,1,1,100,Not remote,9,0,0,0,0,1,0,0,0,0,0,1,1,1
Canada,83333.33333,14,0,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1
Germany,26881.72043,8,0,0,10,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,66000,4,0,1,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,133000,5,0,1,10000,Not remote,10,1,0,0,0,0,0,0,0,1,0,0,0,0
Canada,63636.36364,4,1,1,100,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1
Germany,64516.12903,16,0,1,100,Not remote,8,0,1,1,0,0,0,0,0,0,0,0,1,0
United Kingdom,43350,4,0,0,20,Not remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,150000,6,0,1,100,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,90000,4,0,1,20,Not remote,8,1,0,1,1,0,0,0,1,1,0,0,0,0
United States,147000,20,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,37878.78788,3,1,1,10,Not remote,7,0,0,1,0,0,1,0,0,1,0,0,0,1
Canada,31818.18182,1,0,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,160000,20,0,1,20,Not remote,6,0,0,0,1,1,0,0,0,0,0,0,1,1
United States,97000,17,0,1,100,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,95000,4,0,1,20,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,54000,1,0,1,5000,Not remote,10,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,119000,8,0,1,10,Remote,10,1,0,0,1,0,0,0,0,1,0,0,0,1
United States,135000,5,0,1,10000,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,82000,3,0,1,100,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,47000,1,0,1,10000,Not remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,133000,20,1,1,100,Remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,40000,1,0,0,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,84000,15,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,87500,12,0,1,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,115000,4,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,69892.47312,15,0,0,10000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,85000,12,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,170000,20,0,1,1000,Not remote,10,0,0,1,0,0,0,0,0,0,0,1,0,0
United States,150000,20,1,1,500,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,0,0
United States,130000,4,0,1,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,65000,3,0,1,10000,Not remote,4,0,0,1,0,0,0,0,0,0,0,0,0,1
Germany,77419.35484,20,1,0,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,135000,13,0,1,100,Not remote,9,0,1,1,1,1,1,0,0,1,0,0,1,1
Canada,58522.72727,6,1,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,174000,8,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,125000,9,0,1,20,Not remote,8,0,0,1,0,0,0,1,0,0,1,0,0,1
United States,139000,11,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,40000,1,0,1,20,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0
United States,78000,5,0,0,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,95000,3,1,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,80000,13,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,73736,16,0,1,20,Not remote,5,0,1,0,1,0,0,0,0,0,0,0,1,1
United Kingdom,59375,8,0,0,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,0,0,1
United States,130000,7,1,0,10000,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1
United States,110000,14,0,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
India,16150.34503,3,0,0,1,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,145000,20,1,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United Kingdom,51250,20,0,0,20,Not remote,6,0,1,1,0,1,0,0,0,0,0,0,1,1
United Kingdom,55000,1,1,1,100,Not remote,0,0,0,0,1,0,0,0,0,0,1,0,0,0
United States,62000,2,0,1,1,Not remote,10,0,0,1,0,0,1,0,0,0,0,0,0,0
United Kingdom,156250,20,0,1,10000,Not remote,6,0,0,0,1,0,0,0,0,0,0,0,0,0
United States,150000,12,1,1,20,Not remote,8,0,1,1,0,0,0,1,0,0,0,0,1,1
Canada,43939.39394,20,0,1,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,1,1,1
United States,91000,11,0,1,500,Not remote,6,0,1,1,1,1,0,0,0,0,1,0,1,0
United States,59000,3,0,0,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,75000,4,1,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
Canada,58333.33333,6,1,1,100,Not remote,7,0,0,1,0,0,0,0,0,0,1,0,0,1
Canada,75757.57576,2,0,1,20,Not remote,8,1,1,0,1,0,0,0,0,0,0,0,0,0
United States,130000,12,0,1,10,Not remote,8,0,1,1,0,1,0,0,0,0,0,0,1,1
United Kingdom,63750,8,1,0,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,75000,9,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,54838.70968,16,0,1,1,Not remote,6,0,0,1,0,0,1,0,0,0,0,0,0,0
United States,160000,18,1,0,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,150000,10,1,1,10000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United Kingdom,46875,3,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,85000,9,1,1,1,Not remote,8,0,1,0,0,1,0,0,0,0,0,0,0,1
United States,95000,20,1,1,10000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,52500,7,1,1,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,130000,20,0,1,20,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,130000,20,1,1,5000,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,1
United States,64000,3,0,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,72500,1,1,0,20,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,125000,7,0,1,10000,Not remote,8,0,1,1,0,0,0,1,0,0,1,0,0,1
United Kingdom,54375,15,1,1,20,Remote,6,0,1,1,0,0,0,0,0,0,0,0,1,1
United States,30000,3,1,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,45161.29032,2,0,1,10,Not remote,8,0,0,1,0,0,0,0,1,0,1,0,0,0
Canada,43181.81818,3,0,1,1000,Not remote,8,0,1,1,0,0,0,1,1,0,1,0,1,1
United States,104200,12,0,1,10000,Not remote,9,0,1,1,0,0,0,0,0,0,1,0,0,1
United Kingdom,51250,5,0,0,10000,Not remote,10,0,0,0,0,1,0,0,0,0,0,0,0,1
Canada,50000,10,0,1,20,Not remote,6,0,1,1,0,1,0,0,0,0,0,0,0,0
United States,150000,10,1,1,100,Not remote,9,0,0,1,0,1,0,0,0,0,0,0,1,1
United States,109000,1,0,1,10000,Not remote,10,0,0,1,0,1,0,0,0,0,0,0,0,0
United States,76000,7,0,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,42000,13,1,1,5000,Not remote,8,0,1,0,0,0,0,1,0,0,0,1,1,1
Germany,64516.12903,16,0,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,85000,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,160000,20,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,96000,9,1,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United Kingdom,56250,7,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,80000,2,1,1,10000,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,82500,2,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,1.00E+05,20,1,1,1,Not remote,9,0,0,0,1,1,0,0,0,0,1,0,0,1
United States,115000,11,1,1,1,Remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,65000,5,0,0,100,Not remote,4,1,1,0,0,0,0,0,0,0,0,0,0,1
United States,105000,9,0,1,1000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,52500,9,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,64000,6,0,1,1000,Not remote,8,0,1,0,0,0,1,0,0,0,0,0,0,1
United Kingdom,45000,11,1,1,100,Not remote,8,0,1,1,0,1,0,0,0,0,0,0,0,1
Canada,54545.45455,10,0,0,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,131000,9,1,1,100,Remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1
United Kingdom,76250,9,0,0,10000,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0
Germany,60215.05376,19,0,1,500,Remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,122000,19,1,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
India,13213.91866,1,1,1,1,Not remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
United States,73500,1,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
India,14682.13185,3,1,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,87000,5,0,1,10000,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,57000,1,0,0,20,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,45500,4,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,87500,10,1,0,10000,Not remote,7,0,0,0,0,1,1,0,0,0,0,0,0,0
United States,60000,3,0,0,10,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,80000,6,0,0,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000,9,1,1,1000,Not remote,7,0,1,0,0,0,0,0,0,0,1,0,1,1
United States,79000,10,0,0,10000,Remote,10,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,173000,20,0,1,10000,Not remote,10,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,45600,1,1,1,10,Not remote,4,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,65312.5,14,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,43010.75269,4,1,1,20,Not remote,8,0,1,0,0,1,0,0,0,0,0,0,0,1
United States,43500,2,0,1,10,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
India,8809.279107,1,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
United States,72000,2,0,0,500,Not remote,7,0,1,1,0,0,0,0,0,0,0,0,0,1
United Kingdom,75000,8,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,70000,2,0,1,5000,Not remote,10,0,0,1,0,0,0,0,0,0,0,1,0,0
United States,125000,3,1,1,10000,Not remote,9,0,0,0,0,1,0,0,0,1,1,0,1,1
United Kingdom,90000,9,0,0,500,Not remote,7,0,1,1,0,0,0,0,0,0,0,0,0,0
United States,101000,5,0,1,20,Not remote,5,0,0,1,1,0,0,0,0,1,0,0,0,0
United States,195000,20,1,1,10000,Remote,8,0,0,0,1,0,1,0,0,0,0,0,0,1
United States,110000,5,0,1,1000,Remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,37500,6,0,0,1,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,1,1
United Kingdom,41250,3,0,1,100,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,55000,5,1,1,1000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,85000,4,1,1,10,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,0,1
United States,78000,10,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,80000,20,0,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,31250,2,0,1,20,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,75000,8,1,1,5000,Not remote,10,0,0,1,0,1,0,0,0,0,0,0,0,1
Canada,45305.30303,2,0,1,20,Not remote,10,0,1,1,1,0,0,0,0,0,0,0,0,1
United States,92500,7,0,1,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,53750,20,0,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,57500,2,0,0,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,47500,1,0,1,20,Not remote,9,0,1,0,0,0,0,0,0,0,1,0,0,1
United Kingdom,60000,20,1,0,100,Not remote,4,1,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,50000,3,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,180000,12,0,1,1000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,89000,12,0,0,100,Not remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,1.00E+05,20,0,0,1,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
Germany,59139.78495,20,0,1,100,Not remote,9,0,0,1,1,0,0,0,0,0,0,0,0,0
United States,73500,4,0,1,10000,Not remote,8,1,1,0,0,0,0,0,0,0,0,0,0,0
United States,108000,5,0,1,100,Not remote,10,0,0,0,0,0,0,0,0,0,1,0,0,0
United States,136000,17,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
