childid,catholic,race,number_places_lived,mom_age,dad_age,dad_education,mom_education,mom_score,dad_score,income,poverty,food_stamps,score_standardized
0002022C,0,"WHITE, NON-HISPANIC",1,27,30,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,38.18,62500.5,0,0,0.692894293
0002024C,0,"WHITE, NON-HISPANIC",1,40,43,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,53.5,62500.5,0,0,-0.527293201
0005009C,0,"WHITE, NON-HISPANIC",1,33,30,9TH - 12TH GRADE,SOME COLLEGE,34.95,35.92,17500.5,1,1,-0.025650271
0005013C,0,"MORE THAN ONE RACE, NON HISPANIC",1,36,48,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,33.42,33.42,17500.5,1,1,-0.611706746
0006001C,0,ASIAN,1,42,54,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,34.95,22500.5,1,0,0.589848002
0006002C,0,ASIAN,1,42,45,8TH GRADE OR BELOW,SOME COLLEGE,29.6,34.95,12500.5,1,0,-0.972111404
0006003C,0,"WHITE, NON-HISPANIC",1,39,39,BACHELOR'S DEGREE,BACHELOR'S DEGREE,53.5,53.5,87500.5,0,0,0.40125579
0006005C,0,"WHITE, NON-HISPANIC",1,37,38,BACHELOR'S DEGREE,SOME COLLEGE,34.95,53.5,62500.5,0,0,2.017775171
0006007C,0,"WHITE, NON-HISPANIC",1,37,36,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,53.5,39.2,45000.5,0,0,0.726865597
0006011C,0,"WHITE, NON-HISPANIC",1,28,32,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,29.6,35.78,27500.5,0,0,-0.340451026
0006017C,0,"WHITE, NON-HISPANIC",1,34,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,53.5,37500.5,0,0,1.568324517
0007004C,1,"WHITE, NON-HISPANIC",2,41,45,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,SOME COLLEGE,57.83,35.78,150000.5,0,0,1.485352179
0007006C,1,"WHITE, NON-HISPANIC",1,35,37,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,53.5,63.43,87500.5,0,0,-0.501969138
0007009C,1,"WHITE, NON-HISPANIC",1,37,46,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,35.78,150000.5,0,0,-0.913021923
0007018C,1,"WHITE, NON-HISPANIC",1,40,39,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,61.56,62.87,150000.5,0,0,0.687541239
0007020C,1,"WHITE, NON-HISPANIC",1,35,52,DOCTORATE OR PROFESSIONAL DEGREE,DOCTORATE OR PROFESSIONAL DEGREE,61.56,72.1,62500.5,0,0,1.426571528
0009003C,0,"WHITE, NON-HISPANIC",1,37,49,HIGH SCHOOL DIPLOMA/EQUIVALENT,"MASTER'S DEGREE (MA, MS)",63.43,35.92,87500.5,0,0,-0.594515207
0009005C,0,"WHITE, NON-HISPANIC",1,38,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,33.42,39.2,17500.5,1,1,-0.064048139
0009008C,0,"WHITE, NON-HISPANIC",1,36,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,33.42,39.2,62500.5,0,0,-0.776621988
0009009C,0,"WHITE, NON-HISPANIC",1,31,30,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,38.18,32500.5,0,0,0.212560635
0009010C,0,"WHITE, NON-HISPANIC",1,35,41,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,33.42,34.95,87500.5,0,0,0.502037327
0009013C,0,"WHITE, NON-HISPANIC",1,35,40,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,53.5,33.42,150000.5,0,0,0.987209322
0009014C,0,"WHITE, NON-HISPANIC",1,34,45,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,53.5,39.18,87500.5,0,0,-0.196536227
0009018C,0,"WHITE, NON-HISPANIC",1,43,41,VOC/TECH PROGRAM,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,39.18,45000.5,0,0,-1.513696354
0009020C,0,"WHITE, NON-HISPANIC",1,30,29,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,34.95,29.6,32500.5,0,0,-1.716803578
0009022C,0,"WHITE, NON-HISPANIC",1,38,36,BACHELOR'S DEGREE,BACHELOR'S DEGREE,63.43,63.43,62500.5,0,0,1.688768233
0009024C,0,"WHITE, NON-HISPANIC",1,34,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,39.2,62500.5,0,0,0.663349552
0009026C,0,"WHITE, NON-HISPANIC",1,37,49,HIGH SCHOOL DIPLOMA/EQUIVALENT,"MASTER'S DEGREE (MA, MS)",63.43,35.92,87500.5,0,0,-0.696120291
0010003C,0,"WHITE, NON-HISPANIC",1,35,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,34.95,35.92,12500.5,1,1,0.45108037
0010006C,0,"WHITE, NON-HISPANIC",1,37,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,9TH - 12TH GRADE,34.95,38.18,27500.5,0,0,-0.556734999
0010008C,0,"WHITE, NON-HISPANIC",2,29,33,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,29.6,22500.5,0,0,-2.369052626
0010011C,0,"WHITE, NON-HISPANIC",1,30,31,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,39.18,5000,1,0,-0.325833071
0010015C,0,"WHITE, NON-HISPANIC",1,39,44,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,33.42,34.95,87500.5,0,0,-0.224022101
0010016C,0,"WHITE, NON-HISPANIC",1,32,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,53.5,45000.5,0,0,-0.937316553
0010018C,0,"WHITE, NON-HISPANIC",1,48,48,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,61.56,59,150000.5,0,0,1.323731124
0010020C,0,"WHITE, NON-HISPANIC",1,29,30,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,38.18,35.92,22500.5,0,0,-1.331795459
0011002C,0,"WHITE, NON-HISPANIC",1,34,38,VOC/TECH PROGRAM,SOME COLLEGE,34.95,33.42,62500.5,0,0,0.380667121
0011003C,0,"WHITE, NON-HISPANIC",2,35,43,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,34.95,35.78,87500.5,0,0,1.109094245
0011004C,0,"WHITE, NON-HISPANIC",1,43,49,BACHELOR'S DEGREE,"MASTER'S DEGREE (MA, MS)",59,35.63,150000.5,0,0,1.063593286
0011007C,0,"WHITE, NON-HISPANIC",1,40,43,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,34.95,33.42,87500.5,0,0,0.475375
0011009C,0,"WHITE, NON-HISPANIC",1,34,39,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,39.2,62500.5,0,0,-0.583397326
0011010C,0,"WHITE, NON-HISPANIC",1,34,40,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,38.18,39.2,45000.5,0,0,-0.574955971
0011011C,0,"WHITE, NON-HISPANIC",1,37,39,9TH - 12TH GRADE,SOME COLLEGE,53.5,39.18,62500.5,0,0,-0.001767414
0011013C,0,"WHITE, NON-HISPANIC",1,46,47,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,38.18,45000.5,0,0,1.841021444
0011014C,0,"WHITE, NON-HISPANIC",1,34,37,SOME COLLEGE,VOC/TECH PROGRAM,57.83,39.2,45000.5,0,0,-0.103990158
0011017C,0,"WHITE, NON-HISPANIC",1,38,39,BACHELOR'S DEGREE,SOME COLLEGE,34.95,39.18,45000.5,0,0,0.8745893
0011019C,0,"WHITE, NON-HISPANIC",1,39,37,SOME COLLEGE,SOME COLLEGE,35.78,53.5,62500.5,0,0,-0.109137325
0011021C,0,"WHITE, NON-HISPANIC",1,40,42,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,53.5,53.5,150000.5,0,0,-0.774666065
0011023C,0,"WHITE, NON-HISPANIC",1,32,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,38.18,63.43,62500.5,0,0,-0.126534751
0011024C,0,"WHITE, NON-HISPANIC",1,35,35,BACHELOR'S DEGREE,BACHELOR'S DEGREE,38.18,35.78,150000.5,0,0,1.452513251
0013007C,0,"WHITE, NON-HISPANIC",1,45,46,BACHELOR'S DEGREE,BACHELOR'S DEGREE,63.43,63.43,150000.5,0,0,0.228208024
0013009C,0,"WHITE, NON-HISPANIC",1,51,47,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",63.43,62.87,62500.5,0,0,0.142970932
0014001C,0,"WHITE, NON-HISPANIC",1,35,37,SOME COLLEGE,SOME COLLEGE,35.92,34.95,45000.5,0,0,0.820544043
0014002C,0,"WHITE, NON-HISPANIC",1,36,35,SOME COLLEGE,SOME COLLEGE,38.18,39.18,45000.5,0,0,-0.874521111
0015003C,0,"WHITE, NON-HISPANIC",1,35,37,VOC/TECH PROGRAM,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,53.5,45000.5,0,0,0.689085389
0015004C,0,"WHITE, NON-HISPANIC",3,29,32,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.92,34.95,17500.5,1,0,-1.505769716
0015006C,0,"WHITE, NON-HISPANIC",1,41,55,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,38.18,35.92,37500.5,0,0,0.228619797
0015014C,0,"WHITE, NON-HISPANIC",1,35,36,SOME COLLEGE,BACHELOR'S DEGREE,59,48.69,62500.5,0,0,0.116102718
0015019C,0,"WHITE, NON-HISPANIC",1,35,38,SOME COLLEGE,BACHELOR'S DEGREE,34.95,29.6,37500.5,0,0,1.102094098
0015020C,0,"WHITE, NON-HISPANIC",1,39,54,"MASTER'S DEGREE (MA, MS)",GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,34.95,38.18,37500.5,0,0,0.272267776
0015026C,0,"WHITE, NON-HISPANIC",1,36,39,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,63.43,52.54,45000.5,0,0,0.921222637
0016004C,0,"WHITE, NON-HISPANIC",1,39,35,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,35.92,27500.5,0,0,-1.508137413
0016008C,0,"WHITE, NON-HISPANIC",1,31,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,9TH - 12TH GRADE,35.63,29.6,17500.5,1,1,-2.960462155
0020001C,0,"WHITE, NON-HISPANIC",1,29,36,VOC/TECH PROGRAM,VOC/TECH PROGRAM,34.95,39.2,45000.5,0,0,-0.931037009
0020003C,0,"WHITE, NON-HISPANIC",1,44,50,BACHELOR'S DEGREE,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.2,37500.5,0,0,0.589642115
0020004C,0,"WHITE, NON-HISPANIC",1,31,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,35.92,35.92,62500.5,0,0,-1.515240504
0020007C,0,"NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",1,38,45,SOME COLLEGE,SOME COLLEGE,38.18,39.2,27500.5,0,0,0.063498668
0020010C,0,ASIAN,1,51,53,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,34.95,53.5,32500.5,0,0,0.198972113
0020013C,0,"WHITE, NON-HISPANIC",1,32,49,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,38.18,29.6,37500.5,0,0,-0.856300139
0020014C,0,"WHITE, NON-HISPANIC",1,38,41,BACHELOR'S DEGREE,HIGH SCHOOL DIPLOMA/EQUIVALENT,64.89,52.54,87500.5,0,0,0.685894145
0020018C,0,"WHITE, NON-HISPANIC",1,42,41,HIGH SCHOOL DIPLOMA/EQUIVALENT,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,63.43,35.63,87500.5,0,0,-2.953873781
0020024C,0,"WHITE, NON-HISPANIC",1,30,26,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.18,62500.5,0,0,-1.616536758
0021001C,0,"WHITE, NON-HISPANIC",1,40,35,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,53.5,7500.5,1,0,-0.193756757
0021002C,0,"WHITE, NON-HISPANIC",1,44,58,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.18,32500.5,0,0,0.014497635
0022006C,0,"WHITE, NON-HISPANIC",1,32,40,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,53.5,34.95,45000.5,0,0,0.035601021
0022008C,0,"WHITE, NON-HISPANIC",1,32,31,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,37.67,17500.5,1,0,0.156250624
0022012C,0,"WHITE, NON-HISPANIC",1,30,30,VOC/TECH PROGRAM,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,39.18,37500.5,0,0,-1.075981242
0022013C,0,"WHITE, NON-HISPANIC",1,37,44,SOME COLLEGE,SOME COLLEGE,38.18,53.5,62500.5,0,0,0.708232851
0022016C,0,"WHITE, NON-HISPANIC",1,40,39,BACHELOR'S DEGREE,HIGH SCHOOL DIPLOMA/EQUIVALENT,63.43,39.18,150000.5,0,0,-1.399223352
0022017C,0,"WHITE, NON-HISPANIC",2,32,35,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,53.5,39.18,87500.5,0,0,-0.603162448
0022018C,0,"WHITE, NON-HISPANIC",1,38,42,BACHELOR'S DEGREE,SOME COLLEGE,38.18,37.67,22500.5,1,1,1.012327499
0022020C,0,"WHITE, NON-HISPANIC",1,29,30,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,34.95,29.6,27500.5,0,0,-1.826850016
0022024C,0,"WHITE, NON-HISPANIC",1,46,48,BACHELOR'S DEGREE,DOCTORATE OR PROFESSIONAL DEGREE,77.5,64.89,150000.5,0,0,0.483816355
0023001C,0,"WHITE, NON-HISPANIC",1,34,37,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,39.2,39.2,27500.5,0,0,0.465286552
0023003C,0,"WHITE, NON-HISPANIC",1,41,41,SOME COLLEGE,BACHELOR'S DEGREE,35.78,35.78,87500.5,0,0,0.563494505
0023006C,0,"WHITE, NON-HISPANIC",1,36,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.18,37500.5,0,0,-1.666155451
0023007C,0,"WHITE, NON-HISPANIC",1,34,38,HIGH SCHOOL DIPLOMA/EQUIVALENT,VOC/TECH PROGRAM,35.78,38.18,62500.5,0,0,-0.2959795
0023010C,0,"WHITE, NON-HISPANIC",1,35,50,SOME COLLEGE,BACHELOR'S DEGREE,63.43,34.95,37500.5,0,0,-0.523175467
0023011C,0,"WHITE, NON-HISPANIC",3,33,33,9TH - 12TH GRADE,SOME COLLEGE,34.95,39.2,37500.5,0,0,0.211634145
0023012C,0,"WHITE, NON-HISPANIC",1,41,46,BACHELOR'S DEGREE,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,64.89,62500.5,0,0,0.62206927
0023015C,0,"WHITE, NON-HISPANIC",1,39,37,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,53.5,35.92,62500.5,0,0,1.407629952
0023016C,0,"WHITE, NON-HISPANIC",1,41,39,SOME COLLEGE,BACHELOR'S DEGREE,59,34.95,87500.5,0,0,0.821779363
0023020C,0,"WHITE, NON-HISPANIC",1,37,40,SOME COLLEGE,SOME COLLEGE,38.18,34.95,45000.5,0,0,-0.550043681
0023021C,0,"WHITE, NON-HISPANIC",1,33,32,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.18,37500.5,0,0,-0.281361545
0024004C,0,"WHITE, NON-HISPANIC",1,50,47,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",72.1,63.43,150000.5,0,0,1.21625827
0024011C,0,"WHITE, NON-HISPANIC",1,24,24,SOME COLLEGE,SOME COLLEGE,34.95,53.5,27500.5,0,0,-0.085975072
0025001C,0,"HISPANIC, RACE SPECIFIED",1,38,41,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",53.5,72.1,150000.5,0,0,1.071519924
0025005C,0,"WHITE, NON-HISPANIC",1,44,44,BACHELOR'S DEGREE,BACHELOR'S DEGREE,63.43,64.89,87500.5,0,0,0.623098703
0025018C,0,"WHITE, NON-HISPANIC",1,34,34,SOME COLLEGE,VOC/TECH PROGRAM,53.5,38.18,45000.5,0,0,-0.174918124
0025020C,0,"WHITE, NON-HISPANIC",1,37,39,VOC/TECH PROGRAM,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,39.18,62500.5,0,0,-1.443694878
0026005C,0,"WHITE, NON-HISPANIC",1,42,42,BACHELOR'S DEGREE,BACHELOR'S DEGREE,52.54,35.63,45000.5,0,0,2.444063571
0026008C,0,"WHITE, NON-HISPANIC",1,46,41,SOME COLLEGE,"MASTER'S DEGREE (MA, MS)",38.18,53.5,87500.5,0,0,0.700717987
0026011C,0,"WHITE, NON-HISPANIC",3,46,48,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,53.5,63.43,62500.5,0,0,0.904442871
0026014C,0,"WHITE, NON-HISPANIC",1,37,41,SOME COLLEGE,SOME COLLEGE,38.18,39.2,45000.5,0,0,0.000600283
0026015C,0,"WHITE, NON-HISPANIC",1,46,44,9TH - 12TH GRADE,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.2,62500.5,0,0,-0.400775828
0028001C,1,"MORE THAN ONE RACE, NON HISPANIC",1,35,37,BACHELOR'S DEGREE,BACHELOR'S DEGREE,61.56,53.5,62500.5,0,0,-0.540881723
0028002C,1,"WHITE, NON-HISPANIC",1,45,46,DOCTORATE OR PROFESSIONAL DEGREE,DOCTORATE OR PROFESSIONAL DEGREE,77.5,77.5,62500.5,0,0,0.794499376
0028003C,1,"WHITE, NON-HISPANIC",1,38,38,BACHELOR'S DEGREE,SOME COLLEGE,38.18,39.2,62500.5,0,0,0.718321299
0028006C,1,"WHITE, NON-HISPANIC",1,42,46,DOCTORATE OR PROFESSIONAL DEGREE,BACHELOR'S DEGREE,38.18,77.5,62500.5,0,0,-0.292994143
0028007C,1,"WHITE, NON-HISPANIC",1,41,41,BACHELOR'S DEGREE,BACHELOR'S DEGREE,61.56,61.56,87500.5,0,0,0.576980084
0028008C,1,"WHITE, NON-HISPANIC",1,36,40,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.2,45000.5,0,0,-0.660501893
0028009C,1,"WHITE, NON-HISPANIC",1,38,45,BACHELOR'S DEGREE,BACHELOR'S DEGREE,63.43,64.89,87500.5,0,0,0.52797905
0028010C,1,"WHITE, NON-HISPANIC",1,40,45,"MASTER'S DEGREE (MA, MS)",BACHELOR'S DEGREE,63.43,59,62500.5,0,0,1.376335174
0028011C,1,"WHITE, NON-HISPANIC",1,40,42,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,53.5,38.18,45000.5,0,0,-0.949772698
0028012C,1,"WHITE, NON-HISPANIC",1,44,42,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",61.56,53.5,150000.5,0,0,0.929149274
0028014C,1,"WHITE, NON-HISPANIC",1,33,41,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,39.2,62500.5,0,0,0.198354453
0029002C,0,"WHITE, NON-HISPANIC",1,34,32,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,38.18,48.69,62500.5,0,0,-1.071966451
0029003C,0,"WHITE, NON-HISPANIC",1,32,39,SOME COLLEGE,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,53.5,45000.5,0,0,-0.001355641
0029004C,0,"WHITE, NON-HISPANIC",2,49,46,BACHELOR'S DEGREE,BACHELOR'S DEGREE,61.56,35.63,62500.5,0,0,1.060607929
0029007C,0,"WHITE, NON-HISPANIC",1,43,48,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,38.18,39.2,62500.5,0,0,0.254149747
0029009C,0,"WHITE, NON-HISPANIC",1,38,42,BACHELOR'S DEGREE,SOME COLLEGE,35.78,39.2,27500.5,0,0,1.24642067
0029012C,0,"WHITE, NON-HISPANIC",1,42,46,SOME COLLEGE,SOME COLLEGE,63.43,64.89,150000.5,0,0,1.158301165
0029013C,0,"WHITE, NON-HISPANIC",1,38,41,SOME COLLEGE,VOC/TECH PROGRAM,35.78,35.78,150000.5,0,0,-0.251816804
0029020C,0,"WHITE, NON-HISPANIC",1,42,41,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",53.5,48.69,150000.5,0,0,2.189793504
0029021C,0,"WHITE, NON-HISPANIC",1,27,41,SOME COLLEGE,SOME COLLEGE,53.5,35.78,87500.5,0,0,-0.223816214
0029022C,0,"WHITE, NON-HISPANIC",1,35,36,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,33.42,37.67,62500.5,0,0,-1.580712473
0032006C,0,"HISPANIC, RACE NOT SPECIFIED",1,37,39,BACHELOR'S DEGREE,BACHELOR'S DEGREE,34.95,34.95,32500.5,0,0,0.22841391
0032008C,0,"WHITE, NON-HISPANIC",1,41,43,BACHELOR'S DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,53.5,35.78,150000.5,0,0,0.715027112
0032013C,0,"WHITE, NON-HISPANIC",1,29,25,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,35.78,37500.5,0,0,-0.339009819
0032022C,0,"WHITE, NON-HISPANIC",1,30,31,HIGH SCHOOL DIPLOMA/EQUIVALENT,9TH - 12TH GRADE,34.95,35.92,62500.5,0,0,-0.865359153
0032024C,0,"WHITE, NON-HISPANIC",1,44,41,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,39.2,62500.5,0,0,0.160162471
0033001C,0,"HISPANIC, RACE NOT SPECIFIED",1,35,36,BACHELOR'S DEGREE,SOME COLLEGE,53.5,48.69,150000.5,0,0,-0.593279887
0033003C,0,"WHITE, NON-HISPANIC",1,41,43,BACHELOR'S DEGREE,BACHELOR'S DEGREE,61.56,53.5,150000.5,0,0,0.019438915
0033005C,0,"WHITE, NON-HISPANIC",1,45,50,HIGH SCHOOL DIPLOMA/EQUIVALENT,SOME COLLEGE,38.18,34.95,45000.5,0,0,0.121043999
0033006C,0,"WHITE, NON-HISPANIC",1,39,41,SOME COLLEGE,SOME COLLEGE,38.18,35.78,150000.5,0,0,0.350607663
0033007C,0,"WHITE, NON-HISPANIC",1,27,29,SOME COLLEGE,VOC/TECH PROGRAM,38.18,39.2,87500.5,0,0,-0.998876675
0033009C,0,"WHITE, NON-HISPANIC",1,44,45,BACHELOR'S DEGREE,SOME COLLEGE,38.18,53.5,150000.5,0,0,0.317151075
0033013C,0,"HISPANIC, RACE SPECIFIED",1,33,35,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,34.95,33.42,27500.5,0,0,-0.447615051
0033015C,0,"WHITE, NON-HISPANIC",1,41,42,BACHELOR'S DEGREE,"MASTER'S DEGREE (MA, MS)",59,33.42,150000.5,0,0,1.280083145
0033016C,0,"WHITE, NON-HISPANIC",2,38,47,BACHELOR'S DEGREE,SOME COLLEGE,38.18,63.43,150000.5,0,0,0.727483257
0033017C,0,"WHITE, NON-HISPANIC",1,42,46,HIGH SCHOOL DIPLOMA/EQUIVALENT,BACHELOR'S DEGREE,61.56,34.95,87500.5,0,0,-0.101416574
0033018C,0,"WHITE, NON-HISPANIC",1,45,50,BACHELOR'S DEGREE,BACHELOR'S DEGREE,38.18,53.5,87500.5,0,0,1.271538847
0033020C,0,"WHITE, NON-HISPANIC",1,44,50,SOME COLLEGE,BACHELOR'S DEGREE,38.18,53.5,37500.5,0,0,1.66776779
